time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-10-22T09:33:12.480Z,35.8231667,-120.3723333,6.678,0.67,md,7,88,0.02523,0.02,nc,nc21412309,2017-01-09T05:18:24.622Z,"10 km SSE of Parkfield, California",earthquake,0.46,1.55,0.1,5,automatic,nc,nc
2004-10-22T07:52:07.690Z,35.9345,-120.4861667,4.963,2.4,md,44,55,0.02342,0.06,nc,nc21412298,2017-01-09T05:18:09.350Z,"6 km NW of Parkfield, California",earthquake,0.15,0.2,0.1,37,automatic,nc,nc
2004-10-22T04:49:32.430Z,35.9288333,-120.4833333,3.883,1.16,md,14,101,0.02613,0.07,nc,nc21412244,2017-01-09T05:17:32.956Z,"5 km NW of Parkfield, California",earthquake,0.36,0.75,0.13,7,automatic,nc,nc
2004-10-22T04:21:51.890Z,35.9375,-120.4901667,4.963,1.56,md,24,61,0.01982,0.05,nc,nc21412234,2017-01-09T05:17:04.824Z,"6 km NW of Parkfield, California",earthquake,0.3,0.39,0.08,12,automatic,nc,nc
2004-10-21T21:14:16.790Z,35.8506667,-120.3933333,5.185,1.11,md,14,98,0.01532,0.02,nc,nc21412100,2017-01-09T05:15:27.688Z,"6 km SSE of Parkfield, California",earthquake,0.39,0.56,0.12,7,automatic,nc,nc
2004-10-21T21:01:34.480Z,35.8148333,-120.3608333,7.888,0.74,md,12,81,0.03784,0.04,nc,nc21412098,2017-01-09T05:15:20.483Z,"11 km SE of Parkfield, California",earthquake,0.5,0.95,0.13,4,automatic,nc,nc
2004-10-21T18:58:40.920Z,35.8881667,-120.4263333,7.331,1.01,md,14,111,0.02162,0.06,nc,nc21412085,2017-01-09T05:15:00.470Z,"1 km SSE of Parkfield, California",earthquake,0.7,1.57,0.17,5,automatic,nc,nc
2004-10-21T18:18:39.680Z,35.965,-120.5368333,9.529,1.47,md,17,56,0.01441,0.08,nc,nc21412081,2017-01-09T05:14:40.514Z,"11 km NW of Parkfield, California",earthquake,0.54,0.57,0.08,6,automatic,nc,nc
2004-10-21T17:29:31.330Z,35.9688333,-120.5168333,3.168,0.4,md,7,102,0.01171,0.03,nc,nc21412075,2017-01-09T05:14:32.507Z,"10 km NW of Parkfield, California",earthquake,0.49,0.88,0.15,2,automatic,nc,nc
2004-10-21T17:26:30.070Z,35.8303333,-120.3775,4.229,1.32,md,11,108,0.01802,0.04,nc,nc21412074,2017-01-09T05:14:28.580Z,"9 km SSE of Parkfield, California",earthquake,0.44,0.61,0.15,7,automatic,nc,nc
2004-10-21T16:03:15.710Z,35.8511667,-120.3941667,4.985,1.23,md,14,97,0.01532,0.05,nc,nc21412066,2017-01-09T05:14:21.013Z,"6 km SSE of Parkfield, California",earthquake,0.37,0.61,0.13,8,automatic,nc,nc
2004-10-21T15:22:31.020Z,35.8351667,-120.3793333,5.409,0.9,md,12,122,0.01532,0.02,nc,nc21412062,2017-01-09T05:14:13.509Z,"8 km SE of Parkfield, California",earthquake,0.5,0.38,0.21,7,automatic,nc,nc
2004-10-21T14:53:30.760Z,35.8698333,-120.4131667,4.542,0.96,md,7,122,0.01532,0.01,nc,nc21412060,2017-01-09T05:14:05.565Z,"3 km SSE of Parkfield, California",earthquake,1.14,1.93,0.07,3,automatic,nc,nc
